dataset,story_name,text_file,has_v2,v2_path,has_v3,v3_path,has_narrative
ChineseTales,CH_002_牛郎织女,datasets/ChineseTales/texts/CH_002_牛郎织女.txt,True,datasets/ChineseTales/json_v2/CH_002_牛郎织女_v2.json,True,datasets/ChineseTales/json_v3/CH_002_牛郎织女_v3.json,True
ChineseTales,CH_003_孟姜女哭长城,datasets/ChineseTales/texts/CH_003_孟姜女哭长城.txt,True,datasets/ChineseTales/json_v2/CH_003_孟姜女哭长城_v2.json,True,datasets/ChineseTales/json_v3/CH_003_孟姜女哭长城_v3.json,True
ChineseTales,CH_004_梁山伯与祝英台,datasets/ChineseTales/texts/CH_004_梁山伯与祝英台.txt,True,datasets/ChineseTales/json_v2/CH_004_梁山伯与祝英台_v2.json,True,datasets/ChineseTales/json_v3/CH_004_梁山伯与祝英台_v3.json,True
ChineseTales,CH_005_白蛇传,datasets/ChineseTales/texts/CH_005_白蛇传.txt,True,datasets/ChineseTales/json_v2/CH_005_白蛇传_v2.json,True,datasets/ChineseTales/json_v3/CH_005_白蛇传_v3.json,True
ChineseTales,CH_006_花木兰从军,datasets/ChineseTales/texts/CH_006_花木兰从军.txt,True,datasets/ChineseTales/json_v2/CH_006_花木兰从军_v2.json,True,datasets/ChineseTales/json_v3/CH_006_花木兰从军_v3.json,True
ChineseTales,CH_007_嫦娥奔月,datasets/ChineseTales/texts/CH_007_嫦娥奔月.txt,True,datasets/ChineseTales/json_v2/CH_007_嫦娥奔月_v2.json,True,datasets/ChineseTales/json_v3/CH_007_嫦娥奔月_v3.json,True
ChineseTales,CH_008_盘古开天,datasets/ChineseTales/texts/CH_008_盘古开天.txt,True,datasets/ChineseTales/json_v2/CH_008_盘古开天_v2.json,True,datasets/ChineseTales/json_v3/CH_008_盘古开天_v3.json,False
ChineseTales,CH_009_女娲补天,datasets/ChineseTales/texts/CH_009_女娲补天.txt,True,datasets/ChineseTales/json_v2/CH_009_女娲补天_v2.json,True,datasets/ChineseTales/json_v3/CH_009_女娲补天_v3.json,False
ChineseTales,CH_010_沉香救母,datasets/ChineseTales/texts/CH_010_沉香救母.txt,True,datasets/ChineseTales/json_v2/CH_010_沉香救母_v2.json,True,datasets/ChineseTales/json_v3/CH_010_沉香救母_v3.json,False
ChineseTales,CH_011_精卫填海,datasets/ChineseTales/texts/CH_011_精卫填海.txt,True,datasets/ChineseTales/json_v2/CH_011_精卫填海_v2.json,True,datasets/ChineseTales/json_v3/CH_011_精卫填海_v3.json,False
ChineseTales,CH_012_后羿射日,datasets/ChineseTales/texts/CH_012_后羿射日.txt,True,datasets/ChineseTales/json_v2/CH_012_后羿射日_v2.json,True,datasets/ChineseTales/json_v3/CH_012_后羿射日_v3.json,True
ChineseTales,CH_013_哪吒闹海,datasets/ChineseTales/texts/CH_013_哪吒闹海.txt,True,datasets/ChineseTales/json_v2/CH_013_哪吒闹海_v2.json,True,datasets/ChineseTales/json_v3/CH_013_哪吒闹海_v3.json,False
ChineseTales,CH_014_武松打虎,datasets/ChineseTales/texts/CH_014_武松打虎.txt,True,datasets/ChineseTales/json_v2/CH_014_武松打虎_v2.json,True,datasets/ChineseTales/json_v3/CH_014_武松打虎_v3.json,True
ChineseTales,CH_015_大禹治水,datasets/ChineseTales/texts/CH_015_大禹治水.txt,True,datasets/ChineseTales/json_v2/CH_015_大禹治水_v2.json,True,datasets/ChineseTales/json_v3/CH_015_大禹治水_v3.json,False
