level,code,description,parent_code
3,T400-T499,Illicit sexual relations,T400-T499
3,T500-T599,Conception and birth,T500-T599
3,T600-T699,Care of children,T600-T699
3,U0-U99,Life's inequalities,U0-U99
3,U100-U299,The nature of life—miscellaneous motifs.,U100-U299
3,V0-V99,Religious services,V0-V99
3,V100-V199,Religious edifices and objects.,V100-V199
3,V200-V299,Sacred persons,V200-V299
3,V300-V399,Religious beliefs,V300-V399
3,V400-V449,Religious virtues,V400-V449
3,V450-V499,Religious orders,V450-V499
3,V500-V599,Religious motifs—miscellaneous,V500-V599
3,W0-W99,Favorable traits of character.,W0-W99
3,W100-W199,Unfavorable traits of character.,W100-W199
3,W200-W299,Traits of character—miscellaneous,W200-W299
3,X0-X99,Humor of discomfiture,X0-X99
3,X100-X199,Humor of disability,X100-X199
3,X1020-X1079,Remarkable man's extraordinary possessions,X900-X1899
3,X1020-X1079,REMARKABLE MAN'S EXTRAORDINARY POSSESSIONS,X900-X1899
3,X1080-X1099,Lie: occupations of remarkable man,X900-X1899
3,X1100-X1199,Lie: great hunters and fishermen,X900-X1899
3,X1100-X1199,LIE: GREAT HUNTERS AND FISHERMEN,X900-X1899
3,X1200-X1399,Lies about animals,X900-X1899
3,X1200-X1399,LIES ABOUT ANIMALS,X900-X1899
3,X1400-X1499,"Lies about plants, fruits, vegetables and trees",X900-X1899
3,X1400-X1499,"LIES ABOUT PLANTS, FRUITS, VEGETABLES, AND TREES",X900-X1899
3,X1500-X1599,Lies about geography and topography,X900-X1899
3,X1500-X1599,LIES ABOUT GEOGRAPHY AND TOPOGRAPHY,X900-X1899
3,X1600-X1699,Lies about weather and climate,X900-X1899
3,X1600-X1699,LIES ABOUT WEATHER AND CLIMATE,X900-X1899
3,X1700-X1799,Lies: logical absurdities,X900-X1899
3,X1700-X1799,LIES: LOGICAL ABSURDITIES,X900-X1899
3,X1800-X1899,Miscellaneous lies and exaggerations,X900-X1899
3,X1800-X1899,MISCELLANEOUS LIES AND EXAGGERATIONS,X900-X1899
3,X200-X299,Humor dealing with tradesmen,X200-X599
3,X200-X299,Humor dealing with tradesmen,X200-X599
3,X200-X599,HUMOR OF SOCIAL CLASSES,X200-X599
3,X300-X499,Humor dealing with professions,X200-X599
3,X300-X499,Humor dealing with professions.,X200-X599
3,X500-X599,Humor concerning other social classes,X200-X599
3,X500-X599,Humor concerning other social classes.,X200-X599
3,X600-X699,Humor concerning races or nations.,X600-X699
3,X700-X799,Humor concerning sex,X700-X799
3,X800-X899,Humor based on drunkenness.,X800-X899
3,X900-X1899,HUMOR OF LIES AND EXAGGERATION1,X900-X1899
3,X910-X1099,Lie: the remarkable man,X900-X1899
3,X910-X1099,Lie: the remarkable man.,X900-X1899
3,X910-X959,"Lie: the remarkable man: his birth, growth, death, physical",X900-X1899
3,X910-X959,"LIE: THE REMARKABLE MAN — HIS BIRTH, GROWTH,",X900-X1899
3,X960-X1019,Lie: remarkable person's skills,X900-X1899
3,X960-X1019,LIE: REMARKABLE PERSON'S SKILLS,X900-X1899
3,Z0-Z99,Formulas,Z0-Z99
3,Z100-Z199,Symbolism,Z100-Z199
3,Z20-Z59,Cumulative tales,Z0-Z99
3,Z20-Z59,CUMULATIVE TALES,Z0-Z99
3,Z200-Z299,Heroes,Z200-Z299
3,Z300-Z399,Unique exceptions,Z300-Z399
