level,code,description,parent_code
2,H900-H1199,TESTS OF PROWESS: TASKS,H
2,J0-J199,Acquisition and possession of wisdom (knowledge),J
2,J1100-J1699,CLEVERNESS,J
2,J1700-J2749,FOOLS (AND OTHER UNWISE PERSONS),J
2,J1700-J2799,FOOLS (AND OTHER UNWISE PERSONS),J
2,J200-J1099,WISE AND UNWISE CONDUCT,J
2,K0-K99,Contests won by deception,K
2,K100-K299,Deceptive bargains,K
2,K1000-K1199,Deception into self-injury,K
2,K1200-K1299,Deception into humiliating position,K
2,K1300-K1399,Seduction or deceptive marriage,K
2,K1400-K1499,Dupe's property destroyed,K
2,K1500-K1599,Deceptions connected with adultery,K
2,K1600-K1699,Deceiver falls into own trap,K
2,K1700-K2099,DECEPTION THROUGH SHAMS,K
2,K2100-K2199,False accusations,K
2,K2200-K2299,Villains and traitors,K
2,K2300-K2399,Other deceptions,K
2,K300-K499,Thefts and cheats,K
2,K500-K699,Escape by deception,K
2,K700-K799,Capture by deception,K
2,K800-K999,Fatal deception,K
2,L0-L99,Victorious youngest child,L
2,L100-L199,Unpromising hero (heroine),L
2,L200-L299,Modesty brings reward,L
2,L300-L399,Triumph of the weak,L
2,L400-L499,Pride brought low,L
2,M0-M99,Judgments and decrees,M
2,M100-M199,Vows and oaths,M
2,M200-M299,Bargains and promises,M
2,M300-M399,Prophecies,M
2,M400-M499,Curses,M
2,N0-N99,Wagers and gambling,N
2,N100-N299,The ways of luck and fate,N
2,N300-N399,Unlucky accidents,N
2,N400-N699,Lucky accidents,N
2,N700-N799,Accidental encounters,N
2,N800-N899,Helpers,N
2,P0-P99,Royalty and nobility,P
2,P100-P199,Other social orders,P
2,P200-P299,The family,P
2,P300-P399,Other social relationships,P
2,P400-P499,Trades and professions,P
2,P500-P599,Government,P
2,P600-P699,Customs,P
2,P700-P799,Society—miscellaneous motifs,P
2,Q10-Q99,Deeds rewarded,Q
2,Q100-Q199,Nature of rewards,Q
2,Q200-Q399,Deeds punished,Q
2,Q400-Q599,Kinds of punishment,Q
2,R0-R99,Captivity,R
2,R100-R199,Rescues,R
2,R200-R299,Escapes and pursuits,R
2,R300-R399,Refuges and recapture,R
2,S0-S99,Cruel relatives,S
2,S100-S199,Revolting murders or mutilations,S
2,S200-S299,Cruel sacrifices,S
2,S300-S399,Abandoned or murdered children,S
2,S400-S499,Cruel persecutions,S
2,T0-T99,Love,T
2,T100-T199,Marriage,T
2,T200-T299,Married life,T
2,T300-T399,Chastity and celibacy,T
2,T400-T499,Illicit sexual relations,T
2,T500-T599,Conception and birth,T
2,T600-T699,Care of children,T
2,U0-U99,Life's inequalities,U
2,U100-U299,Nature of life—miscellaneous motifs,U
2,V0-V99,Religious services,V
2,V100-V199,Religious edifices and objects,V
2,V200-V299,Sacred persons,V
2,V300-V399,Religious beliefs,V
2,V400-V449,Religious virtues,V
2,V450-V499,Other religious orders,V
2,V500-V599,Religious motifs—miscellaneous,V
2,W0-W99,Favorable traits of character,W
2,W100-W199,Unfavorable traits of character,W
2,W200-W299,Traits of character—miscellaneous,W
2,X0-X99,Humor of discomfiture,X
2,X100-X199,Humor of disability,X
2,X200-X599,HUMOR OF SOCIAL CLASSES,X
2,X600-X699,Humor concerning races or nations,X
2,X700-X799,Humor concerning sex,X
2,X800-X899,Humor based on drunkenness,X
2,X900-X1899,HUMOR OF LIES AND EXAGGERATIONS,X
2,Z0-Z99,Formulas,Z
2,Z100-Z199,Symbolism,Z
2,Z200-Z299,Heroes,Z
2,Z300-Z399,Unique exceptions,Z
3,A100-A199,The gods in general.,A100-A499
3,A1200-A1299,Creation of man,A1200-A1699
3,A1300-A1399,Ordering of human life.,A1200-A1699
3,A1400-A1499,Acquisition of culture,A1200-A1699
3,A1500-A1599,Origin of customs,A1200-A1699
3,A1600-A1699,Distribution and differentiation of peoples.,A1200-A1699
3,A1700-A1799,Creation of animal life—general.,A1700-A2199
3,A1800-A1899,Creation of mammals,A1700-A2199
3,A1810-A1819,Felidae,A1700-A2199
3,A1810-A1839,CREATION OF CARNIVORA,A1700-A2199
3,A1820-A1829,Mustelidae,A1700-A2199
3,A1830-A1839,Canidae and other carnivora.,A1700-A2199
3,A1840-A1859,Rodentia,A1700-A2199
3,A1860-A1869,Primata,A1700-A2199
3,A1900-A1999,Creation of birds,A1700-A2199
3,A1910-A1929,Passeriformes,A1700-A2199
3,A1930-A1939,Falconiformes,A1700-A2199
3,A1940-A1949,Charidriiformes,A1700-A2199
3,A1950-A1959,Coraciiformes,A1700-A2199
3,A1960-A1969,Ciconiiformes,A1700-A2199
3,A1970-A1999,Miscellaneous birds,A1700-A2199
3,A200-A299,Gods of the upper world.,A100-A499
3,A2000-A2099,Creation of insects,A1700-A2199
3,A2100-A2139,CREATION OF FISH,A1700-A2199
3,A2100-A2199,Creation of fish and other animals.,A1700-A2199
3,A2160-A2199,ORIGIN OF AMPHIBIANS AND OTHER ANIMAL FORMS,A1700-A2199
3,A2200-A2299,Various causes of animal characteristics.,A2200-A2599
3,A2300-A2399,Causes of animal characteristics: body.,A2200-A2599
3,A2400-A2499,Causes of animal characteristics: appearance and habits.,A2200-A2599
3,A2500-A2599,Animal characteristics—miscellaneous,A2200-A2599
3,A2600-A2649,VARIOUS ORIGINS OF PLANTS,A2600-A2699
3,A2650-A2699,ORIGIN OF VARIOUS PLANTS AND TREES,A2600-A2699
3,A2700-A2749,VARIOUS ORIGINS OF PLANT CHARACTERISTICS,A2700-A2799
3,A2750-A2799,ORIGIN OF VARIOUS PLANT CHARACTERISTICS,A2700-A2799
3,A2800-A2849,MISCELLANEOUS EXPLANATIONS: ORIGINS,A2800-A2899
3,A2850-A2899,MISCELLANEOUS EXPLANATIONS: CHARACTERISTICS,A2800-A2899
3,A300-A399,Gods of the underworld.,A100-A499
3,A400-A499,Gods of the earth.,A100-A499
